Field name,Field Definition?,Data type?,Primary key?
At1 (mm),Axle width steering axle,integer,No
At2 (mm),Axle width other axle,integer,No
Cn,Commercial name,varchar(120),No
Cr,Category of the vehicle registered,varchar(120),No
Ct,Category of the vehicle type approved,varchar(2),No
Dam (kg),Default added mass,integer,No
De,Deviation factor,float,No
Ec (cm3),Engine capacity,integer,No
Enedc (g/km),Specific CO2 Emissions (NEDC),integer,No
Ep (KW),Engine power,interger,No
Ernedc (g/km),Emissions reduction through innovative technologies,integer,No
Erwltp (g/km),Emissions reduction through innovative technologies (WLTP),float,No
Ewltp (g/km),Specific CO2 Emissions (WLTP),integer,No
Fm,Fuel mode,varchar(1),No
Ft,Fuel type,varchar(120),No
ID,ID,integer,Yes
IT,Innovative technology or group of innovative technologies,varchar(255),No
M (kg),Mass,integer,No
MAN,Manufacturer name OEM declaration,varchar(120),No
Mb (kg),Mass in running order of the base vehicles,integer,No
Mf (kg),Mass of the complete/completed/final vehicles,decimal,No
Mh,Manufacturer harmonised,varchar(120),No
Mk,Make,varchar(120),No
MMS,Manufacturer name as in MS registry,varchar(120),No
MP,Manufacturer pooling,varchar(120),No
MS,Member state,varchar(2),No
Mt (kg),WLTP test mass,integer,No
r,Total new registrations,integer,No
T,Type,varchar(120),No
TAN,Type approval number,varchar(255),No
TPMLM (kg),Technically permissible maximum laden mass,integer,No
Va,Variant,varchar(120),No
Ve,Version,varchar(120),No
Vf,Verification factor,integer,No
VFN,Vehicle family identification number,varchar(25),No
W (mm),Wheel Base,integer,No
Z (Wh/km),Electric energy consumption,integer,No
